"Accession,EXP-Int-PS50,EXP-Int-Negative,CK1-¦Á-amylase,CK2-Pepsin,CK3-Mucin pH2,CK3-Pancreatin"
"P62272,0,0,0,0,0,0"
"A0A5G2R7R6,0,0,0,0,0,0"
"Q767L7,0,0,0,0,0,0"
"F2Z558,0,0,0,0,0,0"
"P10668,0,0,0,0,0,0"
"A0A5G2QML3,0,0,0,0,0,0"
"I3LL32,0,0,0,0,0,0"
"A0A5K1UKC5,0,0,0,0,0,0"
"Q5XLD2,0,0,0,0,0,0"
"Q9TV61,0,0,0,0,0,0"
"F1S6B5,0,0,0,0,0,0"
"P80021,0,0,0,0,0,0"
"P42639,0,0,0,0,0,0"
"A0A287BID4,0,0,0,0,0,0"
"A0A075B7H9,0,0,0,0,0,0"
"P37111,0,0,0,0,0,0"
"O97763,0,0,0,0,0,0"
"A0A287AIJ3,0,0,0,0,0,0"
"F1RZ82,0,0,0,0,0,0"
"A0A286ZUL8,0,0,0,0,0,0"
"A0A5G2R1J3,0,0,0,0,0,0"
"A0A480STD3,0,0,0,0,0,0"
"A0A287A042,0,0,0,0,0,0"
"A0A480J3V8,0,0,0,0,0,0"
"F1RX66,0,0,0,0,0,0"
"I3LGI9,0,0,0,0,0,0"
"A0A5G2QHV1,0,0,0,0,0,0"
"A0A5G2QFL2,0,0,0,0,0,0"
"A0A286ZMB2,0,0,0,0,0,0"
"A0A5G2QPP0,0,0,0,0,0,0"
"I3LCP8,0,0,0,0,0,0"
